law_id,law_name,domain_code,law_type_code,ministry_name
7dc96895-1f1a-4287-aff7-71b9c1105d0d,유해화학물질 차량 운송시설 설치 및 관리에 관한 고시,CHEMICAL,NOTICE,화학물질안전원
8e456ac6-2df8-4ea3-b166-468c70f63f75,유해화학물질 취급시설 검사 및 안전진단 수수료에 관한 고시,CHEMICAL,NOTICE,화학물질안전원
d7aaf6d1-6bf4-4632-a2df-79880a7823f9,유해화학물질 취급시설 검사기관 관리 등에 관한 규정,CHEMICAL,NOTICE,기후에너지환경부
2b4b8b48-b240-4acb-96ad-89813eecac8f,유해화학물질 취급시설 외벽으로부터 보호대상까지의 안전거리 고시,CHEMICAL,NOTICE,기후에너지환경부
e5b28afd-2273-4e75-b19c-f5447db13e51,유해화학물질 취급시설의 설치·정기·수시검사 및 안전진단의 방법 등에 관한 규정,CHEMICAL,NOTICE,기후에너지환경부
c3835e07-8c93-4e0a-9e3b-56943915ddd6,유해화학물질 취급자의 개인보호장구 착용에 관한 규정,CHEMICAL,NOTICE,화학물질안전원
35c426c1-0245-4e7e-86a8-8982fbaafb16,유해화학물질공정시험기준,CHEMICAL,NOTICE,국립환경과학원
51f90e99-cba3-4724-ab16-faa3c7aac395,유해화학물질별 구체적인 취급기준에 관한 규정,CHEMICAL,NOTICE,화학물질안전원
86631679-e86f-4145-ba4f-0b049c863b81,유해화학물질의 교역시 사전통보승인절차에 관한 협약에 따른 화학물질의 수출에 관한 규정,CHEMICAL,NOTICE,기후에너지환경부
e298663a-407d-4cb8-85d8-af7db9e39e59,유해화학물질의 규정수량에 관한 규정,CHEMICAL,NOTICE,화학물질안전원
45423605-a021-48a7-8c91-0eb4a5b238be,유해화학물질의 영업 및 관리 등에 관한 업무처리 규정,CHEMICAL,NOTICE,기후에너지환경부
d5a6ad5e-d8b7-4ee2-8478-d93b3eceee3f,유해화학물질의 영업허가 등에 관한 규정,CHEMICAL,NOTICE,기후에너지환경부
a5c1fd6c-5efa-4901-8614-30d5608d5d43,표면처리업종 유해화학물질 취급시설 설치 및 관리에 관한 고시,CHEMICAL,NOTICE,화학물질안전원
d293977d-5226-4483-9149-10b4313431d6,항만구역 내 유해화학물질 보관시설 설치 및 관리에 관한 고시,CHEMICAL,NOTICE,화학물질안전원
93ccf497-4982-4b21-98ac-2640c338e078,화학물질 및 물리적 인자의 노출기준,CHEMICAL,NOTICE,고용노동부
753f0d0a-6716-4a68-8d0a-c1365c57bb4d,화학물질 시험기관의 지정기준 및 관리기준 등에 관한 규정,CHEMICAL,NOTICE,기후에너지환경부
449ca799-1076-42e5-8465-6bfd55135197,화학물질 자료 등의 보호에 관한 규정,CHEMICAL,NOTICE,기후에너지환경부
0e4f7978-85dc-443f-b182-d983906b9e92,화학물질의 분류 및 표시 등에 관한 규정,CHEMICAL,NOTICE,화학물질안전원
a8c5434d-2281-4f28-bf51-07891f010e3a,화학물질의 유해성·위험성 평가에 관한 규정,CHEMICAL,NOTICE,고용노동부
d143d5a2-6e19-49d8-86a4-1c18ec7fb159,화학물질의 유해성심사결과,CHEMICAL,NOTICE,화학물질안전원
8999802f-b83e-405a-9f07-4ba9e3a02c64,화학물질확인 제외기준,CHEMICAL,NOTICE,기후에너지환경부
ab72677c-476a-4bb4-8875-73bff864c35f,건설기계 안전기준 시행세칙,CONSTRUCTION,NOTICE,국토교통부
6a526a91-33b5-4702-b31f-874af303caff,건축물 에너지효율등급 인증기관 지정 고시,CONSTRUCTION,NOTICE,국토교통부
0a44843c-905e-4642-8f38-fa17ce9cfb34,건축물의 에너지절약설계기준,CONSTRUCTION,NOTICE,국토교통부
cce032d2-6f3a-43ac-afc9-6fa6be8f0fdd,에너지절약형 친환경주택의 건설기준,CONSTRUCTION,NOTICE,국토교통부
ca01c1f5-746e-4090-a432-289d51ab2abf,(행정안전부) 자연재난 복구비용 산정기준,DISASTER,NOTICE,행정안전부
302f02ba-bceb-44d9-b023-9da08ddaee90,(행정안전부) 재난지원금 선지급 비율ㆍ절차 등에 관한 기준,DISASTER,NOTICE,행정안전부
214e0a24-557e-418d-ba30-8a7bf7081c34,교량 내진설계기준(케이블교량)(KDS 24 17 12),DISASTER,NOTICE,국토교통부
e4199c3d-ef79-4583-93f3-04e2df7dd7b4,교량 내진설계기준(한계상태설계법)(KDS 24 17 11),DISASTER,NOTICE,국토교통부
b32e4343-d925-4bc1-9b1f-ff756c4fbf23,급경사지 계측기기 성능검사 기준에 관한 규정,DISASTER,NOTICE,행정안전부
c988c2bd-a89b-434b-a033-4d7f2926ad1a,기초 내진 설계기준(KDS 11 50 25),DISASTER,NOTICE,국토교통부
e6b7e7a9-7512-4bf9-a6af-bad5a8952764,내진설계 일반(KDS 17 10 00),DISASTER,NOTICE,국토교통부
a03304e7-6648-40a2-9a58-b8a06ce44160,방재관리대책 업무 대행비용의 산정기준,DISASTER,NOTICE,행정안전부
2d876084-42e6-47da-a5dd-de081b8a881a,재난안전산업 전문인력 양성기관 지정 세부기준,DISASTER,NOTICE,행정안전부
dbf46d77-f1cf-4df4-b877-21778026cf46,재난안전의무보험의 관리ㆍ운용 등에 관한 업무기준,DISASTER,NOTICE,행정안전부
