atom_id,mapped_field,repo_law_name,joined_law_name,law_article,runtime_law_name,rca_class,label_correct
483ab7fa-64e8-5f1e-af28-99a9018e9318,has_diving,,산업안전보건기준에 관한 규칙,532,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
483b8a66-36ad-54d0-a07b-28004d6f1451,has_high_pressure_gas,고압가스법,고압가스법,23,고압가스법,NONBLANK_INHERITED,YES(short_form)
48d8b121-456d-587d-8369-7b76e4f590c5,has_dust_work,,산업안전보건기준에 관한 규칙,653,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
4984aeca-51f3-5073-bb76-e1da0f24fc68,has_excavation,,산업안전보건기준에 관한 규칙,221,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
4a63de61-8d0d-58ca-8a89-7df22bde9c5b,has_subcontractor,,소방시설공사업법,22,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_INCORRECT,NO
4aa68025-0522-5207-9c57-21595543c3c9,has_crane,,산업안전보건기준에 관한 규칙,141,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
4b712c96-f28a-5dde-97e5-0b70298db328,has_blasting,,산업안전보건기준에 관한 규칙,348,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
4de3e896-670f-5a16-bac0-d7686fefdfc2,has_high_pressure_gas,고압가스법,고압가스법,11,고압가스법,NONBLANK_INHERITED,YES(short_form)
4edd3f5d-a74d-5e3f-92eb-c5e0b5d8cae3,has_scaffold,,산업안전보건기준에 관한 규칙,60,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
50760cff-c7d5-51b1-92cd-47b5974af31a,has_elevator,,산업안전보건기준에 관한 규칙,153,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
50887c61-32a9-527a-94c5-dfc96959cf2f,has_demolition,,산업안전보건기준에 관한 규칙,384,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
5099783e-26b1-5e0d-9114-38bb15fb142f,has_excavation,,산업안전보건기준에 관한 규칙,198,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
50f40032-855f-52eb-ae90-ebf8a319582a,has_excavation,,산업안전보건기준에 관한 규칙,375,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
5152a757-7d99-5bce-987a-19d7cb7a84ac,is_multi_use,실내공기질법,실내공기질법,12,실내공기질법,NONBLANK_INHERITED,YES(short_form)
51b97a12-0491-526d-8740-4a8816c73b8b,has_confined_space,,산업안전보건기준에 관한 규칙,625,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
526ad0d8-1012-5798-adfc-51fe03d74fb4,has_steel_frame,,산업안전보건기준에 관한 규칙,382,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
535cb485-4509-5179-9c52-044ee6d0540f,has_welding,,산업안전보건기준에 관한 규칙,285,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
539cf8f8-5e85-5a57-ae4d-603cfd05d36e,has_pile_work,,산업안전보건기준에 관한 규칙,213,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
54830547-155f-5e71-8eac-6760ea24708c,has_painting,,산업안전보건기준에 관한 규칙,231,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
54e80fdd-5aed-58f4-8f70-ea047317a1b4,has_pile_work,,산업안전보건기준에 관한 규칙,217,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
561a8667-7f12-5cd4-8e56-e94e39eacba0,has_dust_work,,산업안전보건기준에 관한 규칙,476,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
561bc218-1dfa-5b86-a770-4f5340202a24,has_diving,,산업안전보건기준에 관한 규칙,545,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
5792aae3-bbc9-5448-a4d4-b509690dadf0,has_scaffold,,산업안전보건기준에 관한 규칙,56,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
590c9c1c-e1f0-543b-9ef7-f2671fdcac5c,has_grinding,,산업안전보건기준에 관한 규칙,87,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
5924d5bf-dd34-5945-a08f-cdd793f70152,has_press,,산업안전보건기준에 관한 규칙,103,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
59fe3986-f7d4-5c53-96f0-56f62994c3f7,has_pile_work,,산업안전보건기준에 관한 규칙,220,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
5aec15bb-9ba9-5d54-87db-13dcacf41cf9,has_crane,,산업안전보건기준에 관한 규칙,37,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
5b9a8f66-4e0f-58bb-acdf-23c80b3b6c63,has_crane,,산업안전보건기준에 관한 규칙,168,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
5d324d61-1169-5d71-8c5f-8edc907f1e96,has_steel_frame,,산업안전보건기준에 관한 규칙,381,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
5d5b28af-1f4a-5c18-98d5-ac881947e442,has_excavation,,산업안전보건기준에 관한 규칙,341,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
5e4057a7-12e1-59f8-9911-afc73696e1b0,has_gas,,도시가스사업법,17,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_INCORRECT,NO
5e6baf99-abb0-58c8-8c20-44166c4e340b,has_diving,,산업안전보건기준에 관한 규칙,545,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
5f090456-21cd-58c0-8e3a-fce10c4c91a9,has_scaffold,,산업안전보건기준에 관한 규칙,66,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
5f8be6de-9804-5792-8428-1b8c70720456,has_elevator,승강기법,승강기법,28,승강기법,NONBLANK_INHERITED,YES(short_form)
601cfab4-71a1-5b36-aa0d-d7b0a8f192f9,has_scaffold,,산업안전보건기준에 관한 규칙,63,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
61348bad-4346-5833-a0a7-2ebe9c07039b,has_hazardous_material,,산업안전보건기준에 관한 규칙,467,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
61d2827e-6f52-5bdc-8bc0-18696a7f6ddb,has_excavation,,산업안전보건기준에 관한 규칙,376,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
61da44e5-6c64-59dd-be64-c2967b6313ed,has_scaffold,,산업안전보건기준에 관한 규칙,65,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
6256af69-a79f-5509-a8bf-bfe3f63f7557,has_rolling,,산업안전보건기준에 관한 규칙,123,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
625a3cd5-4172-5e3a-bb12-cf2c26c5b16a,has_hazardous_material,,산업안전보건기준에 관한 규칙,502,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
625e6e77-6c76-5231-b707-f5155824a67a,has_elevator,승강기법,승강기법,30,승강기법,NONBLANK_INHERITED,YES(short_form)
6280a01a-e014-56ef-9efc-0e136c08034f,has_scaffold,,산업안전보건기준에 관한 규칙,62,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
62a728f8-9308-56fa-a240-770f6073f42d,has_forklift,,산업안전보건기준에 관한 규칙,178,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
63092974-a3c8-556a-b855-cbe3be96dee5,has_crane,,산업안전보건기준에 관한 규칙,137,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
64015854-bd3f-5e6f-b0bc-3518e78d980a,has_elevator,,산업안전보건기준에 관한 규칙,155,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
65832844-ca6a-5cb4-8884-bfa2481b59a6,has_hazardous_material,,산업안전보건기준에 관한 규칙,510,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
65880d8f-9cea-5dff-bc74-eaccb51878f6,has_boiler,,산업안전보건기준에 관한 규칙,116,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
67279680-f2b7-59ad-9db0-3056d8d589cc,has_hazardous_material,,산업안전보건기준에 관한 규칙,461,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
6943a162-547b-590c-8629-bcf3fb313c91,has_hazardous_material,,산업안전보건기준에 관한 규칙,438,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
6b214890-f9a0-5aed-83f8-ff5b4da478e0,has_asbestos,,산업안전보건기준에 관한 규칙,497,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
6b32babc-5e32-5a56-a8b0-d7cb354aca1b,has_dust_work,,산업안전보건기준에 관한 규칙,607,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
6c304cd5-8020-5eea-a010-da165e97afc7,has_diving,,산업안전보건기준에 관한 규칙,545,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
6c908096-9793-507a-95f2-198ab7bc1db7,has_excavation,,산업안전보건기준에 관한 규칙,340,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
6cc3cf53-74a9-5662-8e90-53e8f1228fdd,has_dust_work,,산업안전보건기준에 관한 규칙,72,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
6e0ca1a7-661d-5075-8887-617c08a5f1db,has_radiation,,산업안전보건기준에 관한 규칙,586,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
71238626-7631-5c39-a9d8-55dc25875cec,has_scaffold,,산업안전보건기준에 관한 규칙,68,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
71a5f48d-2e5e-50f3-b12a-e878d0552a8b,has_steel_frame,,산업안전보건기준에 관한 규칙,383,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
720cb9dc-fdaa-585b-84fb-e33c1ccd9865,has_hazardous_material,,산업안전보건기준에 관한 규칙,451,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
7397246c-c0c2-50d8-9868-d5aeac8e1740,has_diving,,산업안전보건기준에 관한 규칙,557,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
74d18db0-c9d5-566b-bcf7-158f77a2c1f4,has_excavation,,산업안전보건기준에 관한 규칙,374,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
7551ecd0-933d-5a84-a852-acd958e13598,has_diving,,산업안전보건기준에 관한 규칙,545,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
765d60f1-3afe-5fc0-828a-7b7f7c1e162c,has_welding,,산업안전보건기준에 관한 규칙,289,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
78e018e5-243b-5355-91f6-1da0d6026318,has_welding,,산업안전보건기준에 관한 규칙,290,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
7993fa9a-0378-5ccd-9049-b7d476eebac9,has_hazardous_material,,산업안전보건기준에 관한 규칙,457,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
7a128a62-1e53-5afc-b945-8c485e0571fe,has_hazardous_material,,산업안전보건기준에 관한 규칙,465,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
7aba6710-c0d6-5262-93bc-4331b31ad022,has_excavation,,산업안전보건기준에 관한 규칙,378,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
7ccc8ac6-a2f9-5f67-8691-5226585420fb,has_pressure_vessel,,산업안전보건기준에 관한 규칙,87,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
7d21e569-2d76-56a0-b88f-0aa7885247b7,has_dust_work,,산업안전보건기준에 관한 규칙,230,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
7d95a6b0-e4dc-517f-8818-90867877c8a4,has_blasting,,산업안전보건기준에 관한 규칙,371,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
7dfec312-401f-5891-8510-ed35314431e2,has_confined_space,,산업안전보건기준에 관한 규칙,624,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
7f86633d-4fec-5d90-8762-8dc9d842699a,has_hazardous_material,,산업안전보건기준에 관한 규칙,447,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
807f9fc5-0291-509b-a103-122e89a6a5f1,has_hazardous_material,,산업안전보건기준에 관한 규칙,443,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
83ceae6d-df00-5016-a21e-b4db3bc92482,has_hazardous_material,,산업안전보건기준에 관한 규칙,437,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
83f24a15-33cb-5d70-8a29-7a682d49fffc,has_diving,,산업안전보건기준에 관한 규칙,546,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
84001932-7ef6-5789-885f-34913213e810,has_crane,,산업안전보건기준에 관한 규칙,136,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
857ffe6d-58a8-5b7c-927c-42406decc19c,has_excavation,,산업안전보건기준에 관한 규칙,221,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
86b34dce-6032-5db3-b404-74e2e8996c09,has_hazardous_material,,산업안전보건기준에 관한 규칙,446,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
8758e50f-0755-574f-98a3-3bc91c5d54d6,has_excavation,,산업안전보건기준에 관한 규칙,339,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
87e678d2-af34-5e41-b5fa-435ffd24cbdb,has_pile_work,,산업안전보건기준에 관한 규칙,216,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
87f8da46-6f44-5078-868d-74250e8dbbb5,has_emergency_gen,,산업안전보건기준에 관한 규칙,308,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
8802a9d1-d12f-5e02-808d-f18a1ddf60f1,has_subcontractor,,정보통신공사업법,26,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_INCORRECT,NO
